Date,Encounters
03/01/2021,173277
04/01/2021,178795
05/01/2021,180597
06/01/2021,189034
07/01/2021,213593
08/01/2021,209840
09/01/2021,192001
10/01/2021,164837
11/01/2021,174845
12/01/2021,179253
01/01/2022,154874
02/01/2022,166010
03/01/2022,222574
04/01/2022,235785
05/01/2022,241136
06/01/2022,207834
07/01/2022,200162
08/01/2022,204087
09/01/2022,227547
10/01/2022,231529
11/01/2022,235173
12/01/2022,252315
01/01/2023,157358
02/01/2023,156630
03/01/2023,193249
04/01/2023,211992
05/01/2023,206690
06/01/2023,144556
07/01/2023,183479
08/01/2023,232963
09/01/2023,269735
10/01/2023,240932
11/01/2023,242403
12/01/2023,301980
01/01/2024,176197
02/01/2024,189908
03/01/2024,189357
04/01/2024,179725
05/01/2024,170723
